location_key,state,sa4_region,lga_name
1,NSW,Riverina,Wagga Wagga
2,NSW,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury
3,Tas,Launceston and North East,Northern Midlands
4,NSW,New England and North West,Armidale Regional
5,Vic,Hume,Murrindindi
6,Qld,Toowoomba,Lockyer Valley
7,SA,Barossa - Yorke - Mid North,Wakefield
8,WA,Bunbury,Harvey
9,Qld,Darling Downs - Maranoa,Southern Downs
10,Tas,Hobart,Brighton
11,Tas,Launceston and North East,West Tamar
12,SA,South Australia - South East,Mid Murray
13,NSW,Sydney - Outer West and Blue Mountains,Blue Mountains
14,NSW,Capital Region,Upper Lachlan
15,SA,South Australia - South East,Wattle Range
16,Qld,Å,Cairns
17,ACT,Australian Capital Territory,Unincorporated ACT
18,NSW,Illawarra,Wollongong
19,NSW,Sydney - Outer West and Blue Mountains,Penrith
20,NSW,Hunter Valley exc Newcastle,Upper Hunter
21,Qld,Wide Bay,South Burnett
22,NSW,Central West,Mid-Western Regional
23,WA,Western Australia - Wheat Belt,Northam
24,NSW,Sydney - Inner South West,Canterbury-Bankstown
25,NT,Darwin,Litchfield
26,WA,Perth - South East,Armadale
27,Vic,Hume,Mitchell
28,NSW,Murray,Greater Hume
29,SA,Barossa - Yorke - Mid North,Barossa
30,NSW,Mid North Coast,Port Macquarie-Hastings
31,Qld,Cairns,Douglas
32,Qld,Mackay - Isaac - Whitsunday,Mackay
33,SA,South Australia - South East,Yankalilla
34,Qld,Logan - Beaudesert,Logan
35,Tas,Launceston and North East,Dorset
36,NSW,Mid North Coast,Nambucca Valley
37,NSW,Far West and Orana,Narromine
38,Qld,Wide Bay,Fraser Coast
39,SA,South Australia - Outback,Unincorporated SA
40,NSW,Illawarra,Shellharbour
41,NSW,New England and North West,Narrabri
42,Qld,Queensland - Outback,Cook
43,NSW,New England and North West,Tenterfield
44,Vic,Bendigo,Greater Bendigo
45,NSW,Central Coast,Central Coast
46,NSW,New England and North West,Tamworth Regional
47,Vic,Melbourne - North East,Whittlesea
48,NSW,Capital Region,Hilltops
49,NSW,Central West,Forbes
50,Qld,Toowoomba,Toowoomba
51,NSW,Newcastle and Lake Macquarie,Lake Macquarie
52,Qld,Central Queensland,Livingstone
53,NSW,Sydney - Blacktown,Blacktown
54,NSW,Far West and Orana,Dubbo Regional
55,Qld,Cairns,Cairns
56,NSW,Murray,Balranald
57,Qld,Queensland - Outback,Lockhart River
58,Vic,Ballarat,Golden Plains
59,SA,Barossa - Yorke - Mid North,Light
60,Qld,Ipswich,Ipswich
61,Qld,Cairns,Cassowary Coast
62,SA,South Australia - Outback,Tumby Bay
63,NSW,Sydney - South West,Liverpool
64,NSW,Sydney - Parramatta,Cumberland
65,NSW,Hunter Valley exc Newcastle,Muswellbrook
66,Qld,Moreton Bay - North,Moreton Bay
67,NSW,Richmond - Tweed,Ballina
68,NSW,Richmond - Tweed,Kyogle
69,Qld,Wide Bay,Bundaberg
70,Vic,Melbourne - Inner,Melbourne
71,Qld,Brisbane - South,Brisbane
72,NSW,Riverina,Snowy Valleys
73,Qld,Mackay - Isaac - Whitsunday,Whitsunday
74,NSW,Sydney - South West,Fairfield
75,NSW,Capital Region,Yass Valley
76,Qld,Central Queensland,Central Highlands (Qld)
77,NSW,Sydney - Baulkham Hills and Hawkesbury,The Hills
78,SA,Adelaide - North,Salisbury
79,NSW,Hunter Valley exc Newcastle,Port Stephens
80,Vic,Melbourne - North West,Macedon Ranges
81,Vic,Warrnambool and South West,Moyne
82,Vic,Melbourne - South East,Cardinia
83,Vic,Latrobe - Gippsland,East Gippsland
84,NSW,Sydney - Baulkham Hills and Hawkesbury,Hornsby
85,Qld,Queensland - Outback,Mareeba
