location_key,state,sa4_region,lga_name
1,NSW,Riverina,Wagga Wagga
2,NSW,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury
3,Tas,Launceston and North East,Northern Midlands
4,NSW,New England and North West,Armidale Regional
5,Vic,Hume,Murrindindi
6,Qld,Toowoomba,Lockyer Valley
7,SA,Barossa - Yorke - Mid North,Wakefield
8,WA,Bunbury,Harvey
9,Qld,Darling Downs - Maranoa,Southern Downs
10,Tas,Hobart,Brighton
11,Tas,Launceston and North East,West Tamar
12,SA,South Australia - South East,Mid Murray
13,NSW,Sydney - Outer West and Blue Mountains,Blue Mountains
14,NSW,Capital Region,Upper Lachlan
15,SA,South Australia - South East,Wattle Range
16,Qld,Cairns,Cairns
17,ACT,Australian Capital Territory,Unincorporated ACT
18,NSW,Illawarra,Wollongong
19,NSW,Sydney - Outer West and Blue Mountains,Penrith
20,NSW,Hunter Valley exc Newcastle,Upper Hunter
21,Qld,Wide Bay,South Burnett
22,NSW,Central West,Mid-Western Regional
23,WA,Western Australia - Wheat Belt,Northam
24,NSW,Sydney - Inner South West,Canterbury-Bankstown
25,NT,Darwin,Litchfield
26,WA,Perth - South East,Armadale
27,Vic,Hume,Mitchell
28,NSW,Murray,Greater Hume
29,SA,Barossa - Yorke - Mid North,Barossa
30,NSW,Mid North Coast,Port Macquarie-Hastings
31,Qld,Cairns,Douglas
32,Qld,Mackay - Isaac - Whitsunday,Mackay
33,SA,South Australia - South East,Yankalilla
34,Qld,Logan - Beaudesert,Logan
35,Tas,Launceston and North East,Dorset
36,NSW,Mid North Coast,Nambucca Valley
37,NSW,Far West and Orana,Narromine
38,Qld,Wide Bay,Fraser Coast
39,SA,South Australia - Outback,Unincorporated SA
40,NSW,Illawarra,Shellharbour
41,NSW,New England and North West,Narrabri
42,Qld,Queensland - Outback,Cook
43,NSW,New England and North West,Tenterfield
44,Vic,Bendigo,Greater Bendigo
45,NSW,Central Coast,Central Coast
46,NSW,New England and North West,Tamworth Regional
47,Vic,Melbourne - North East,Whittlesea
48,NSW,Capital Region,Hilltops
49,NSW,Central West,Forbes
50,Qld,Toowoomba,Toowoomba
51,NSW,Newcastle and Lake Macquarie,Lake Macquarie
52,Qld,Central Queensland,Livingstone
53,NSW,Sydney - Blacktown,Blacktown
54,NSW,Far West and Orana,Dubbo Regional
55,NSW,Murray,Balranald
56,Qld,Queensland - Outback,Lockhart River
57,Vic,Ballarat,Golden Plains
58,SA,Barossa - Yorke - Mid North,Light
59,Qld,Ipswich,Ipswich
60,Qld,Cairns,Cassowary Coast
61,SA,South Australia - Outback,Tumby Bay
62,NSW,Sydney - South West,Liverpool
63,NSW,Sydney - Parramatta,Cumberland
64,NSW,Hunter Valley exc Newcastle,Muswellbrook
65,Qld,Moreton Bay - North,Moreton Bay
66,NSW,Richmond - Tweed,Ballina
67,NSW,Richmond - Tweed,Kyogle
68,Qld,Wide Bay,Bundaberg
69,Vic,Melbourne - Inner,Melbourne
70,Qld,Brisbane - South,Brisbane
71,NSW,Riverina,Snowy Valleys
72,Qld,Mackay - Isaac - Whitsunday,Whitsunday
73,NSW,Sydney - South West,Fairfield
74,NSW,Capital Region,Yass Valley
75,Qld,Central Queensland,Central Highlands (Qld)
76,NSW,Sydney - Baulkham Hills and Hawkesbury,The Hills
77,SA,Adelaide - North,Salisbury
78,NSW,Hunter Valley exc Newcastle,Port Stephens
79,Vic,Melbourne - North West,Macedon Ranges
80,Vic,Warrnambool and South West,Moyne
81,Vic,Melbourne - South East,Cardinia
82,Vic,Latrobe - Gippsland,East Gippsland
83,NSW,Sydney - Baulkham Hills and Hawkesbury,Hornsby
84,Qld,Queensland - Outback,Mareeba
85,Qld,Central Queensland,Rockhampton
