crash_id,crash_event,crash_type,number_fatalities
1,20241115,Single,1
2,20241125,Single,1
3,20246013,Multiple,1
4,20241002,Multiple,1
5,20242261,Multiple,1
6,20243185,Multiple,1
7,20244016,Single,1
8,20245001,Single,1
9,20243168,Multiple,1
10,20246003,Multiple,1
11,20246001,Multiple,1
12,20244081,Single,1
13,20241087,Single,1
14,20241054,Multiple,1
15,20244042,Single,1
16,20242183,Single,1
17,20242171,Multiple,1
18,20243246,Single,1
19,20248007,Single,1
20,20241101,Single,1
21,20241216,Single,1
22,20241300,Multiple,1
23,20243007,Multiple,1
24,20241278,Single,1
25,20245005,Single,1
26,20241149,Single,1
27,20247029,Single,1
28,20242156,Single,1
29,20245143,Single,1
30,20245039,Single,2
31,20242087,Single,1
32,20241068,Multiple,1
33,20243273,Single,1
34,20242141,Multiple,1
35,20245045,Single,1
36,20245093,Single,1
37,20244020,Multiple,1
38,20244055,Multiple,2
39,20242095,Single,1
40,20245100,Single,1
41,20241094,Multiple,1
42,20243209,Multiple,1
43,20243160,Multiple,2
44,20244001,Multiple,1
45,20243243,Multiple,1
46,20245119,Single,1
47,20246016,Single,1
48,20241119,Multiple,2
49,20245133,Single,1
50,20245069,Single,1
51,20241169,Single,1
52,20245161,Single,1
53,20241291,Multiple,1
54,20243036,Single,1
55,20244026,Single,1
56,20241077,Single,1
57,20241028,Multiple,1
58,20241022,Single,1
59,20243015,Multiple,1
60,20245068,Single,1
61,20242229,Single,1
62,20244023,Single,1
63,20241098,Single,1
64,20243114,Single,2
65,20245092,Single,1
66,20241040,Multiple,1
67,20242188,Single,1
68,20241174,Multiple,1
69,20241088,Multiple,1
70,20245031,Single,1
71,20242136,Multiple,1
72,20241255,Multiple,1
73,20242227,Single,1
74,20241053,Single,2
75,20243046,Single,2
76,20245107,Single,1
77,20241080,Single,1
78,20242006,Multiple,1
79,20245130,Single,1
80,20243044,Multiple,1
81,20246009,Multiple,1
82,20241274,Multiple,1
83,20242073,Multiple,1
84,20241240,Single,1
85,20242035,Single,1
86,20243176,Single,1
87,20245006,Single,1
88,20241181,Single,1
89,20243110,Single,1
90,20242037,Single,1
91,20244044,Single,1
92,20243090,Single,1
93,20243147,Single,1
94,20245083,Single,1
95,20244019,Single,1
96,20241194,Multiple,1
97,20241139,Multiple,1
98,20241197,Multiple,1
99,20243220,Single,1
100,20243267,Multiple,1
101,20241057,Single,1
102,20245164,Single,1
103,20243174,Multiple,1
104,20242148,Multiple,1
105,20241166,Single,1
106,20247011,Single,1
107,20243213,Multiple,1
108,20241096,Single,1
109,20242089,Multiple,1
110,20245012,Single,1
111,20245070,Single,1
112,20243073,Single,1
113,20242264,Multiple,1
114,20241027,Single,1
115,20242018,Multiple,1
116,20241163,Single,1
117,20243143,Single,1
118,20241222,Multiple,1
119,20241218,Single,1
120,20243249,Single,1
121,20243098,Multiple,1
122,20242193,Single,1
123,20241306,Single,1
124,20247002,Multiple,1
125,20243037,Single,1
126,20244083,Single,1
127,20245145,Single,1
128,20241196,Multiple,1
129,20244028,Multiple,2
130,20243038,Single,1
131,20242023,Multiple,1
132,20242230,Multiple,1
133,20242127,Multiple,1
134,20242120,Single,1
135,20241106,Multiple,1
136,20241230,Single,1
137,20241055,Single,1
138,20241267,Multiple,1
139,20242260,Multiple,1
140,20242158,Single,1
141,20242057,Single,1
142,20242163,Single,1
143,20245098,Single,1
144,20243153,Multiple,1
145,20242161,Single,1
146,20243172,Single,1
147,20241236,Multiple,1
148,20245162,Single,1
149,20242213,Single,1
150,20242005,Single,1
151,20241188,Single,1
152,20245056,Single,1
153,20245008,Single,1
154,20242114,Multiple,2
155,20243191,Multiple,2
156,20241256,Multiple,2
157,20247006,Single,1
158,20242207,Single,1
159,20242019,Multiple,1
160,20243008,Multiple,1
161,20243041,Single,1
162,20243001,Single,1
