date_key,year,month,month_name,day_of_week,quarter,season
1,2024,12,December,Friday,4,Summer
2,2024,12,December,Monday,4,Summer
3,2024,12,December,Saturday,4,Summer
4,2024,12,December,Sunday,4,Summer
5,2024,12,December,Thursday,4,Summer
6,2024,12,December,Tuesday,4,Summer
7,2024,12,December,Wednesday,4,Summer
8,2024,11,November,Friday,4,Spring
9,2024,11,November,Monday,4,Spring
10,2024,11,November,Saturday,4,Spring
11,2024,11,November,Sunday,4,Spring
12,2024,11,November,Thursday,4,Spring
13,2024,11,November,Tuesday,4,Spring
14,2024,11,November,Wednesday,4,Spring
15,2024,10,October,Friday,4,Spring
16,2024,10,October,Monday,4,Spring
17,2024,10,October,Saturday,4,Spring
18,2024,10,October,Sunday,4,Spring
19,2024,10,October,Thursday,4,Spring
20,2024,10,October,Tuesday,4,Spring
21,2024,10,October,Wednesday,4,Spring
22,2024,9,September,Friday,3,Spring
23,2024,9,September,Monday,3,Spring
24,2024,9,September,Saturday,3,Spring
25,2024,9,September,Sunday,3,Spring
26,2024,9,September,Thursday,3,Spring
27,2024,9,September,Tuesday,3,Spring
28,2024,9,September,Wednesday,3,Spring
29,2024,8,August,Friday,3,Winter
30,2024,8,August,Monday,3,Winter
31,2024,8,August,Saturday,3,Winter
32,2024,8,August,Sunday,3,Winter
33,2024,8,August,Thursday,3,Winter
34,2024,8,August,Tuesday,3,Winter
35,2024,8,August,Wednesday,3,Winter
36,2024,7,July,Friday,3,Winter
37,2024,7,July,Monday,3,Winter
38,2024,7,July,Saturday,3,Winter
39,2024,7,July,Sunday,3,Winter
40,2024,7,July,Thursday,3,Winter
41,2024,7,July,Tuesday,3,Winter
42,2024,7,July,Wednesday,3,Winter
43,2024,6,June,Friday,2,Winter
44,2024,6,June,Monday,2,Winter
45,2024,6,June,Saturday,2,Winter
46,2024,6,June,Sunday,2,Winter
47,2024,6,June,Thursday,2,Winter
48,2024,6,June,Tuesday,2,Winter
49,2024,6,June,Wednesday,2,Winter
50,2024,5,May,Friday,2,Autumn
51,2024,5,May,Monday,2,Autumn
52,2024,5,May,Saturday,2,Autumn
53,2024,5,May,Sunday,2,Autumn
54,2024,5,May,Thursday,2,Autumn
55,2024,5,May,Tuesday,2,Autumn
56,2024,5,May,Wednesday,2,Autumn
57,2024,4,April,Friday,2,Autumn
58,2024,4,April,Monday,2,Autumn
59,2024,4,April,Saturday,2,Autumn
60,2024,4,April,Sunday,2,Autumn
61,2024,4,April,Thursday,2,Autumn
62,2024,4,April,Tuesday,2,Autumn
63,2024,4,April,Wednesday,2,Autumn
64,2024,3,March,Friday,1,Autumn
65,2024,3,March,Monday,1,Autumn
66,2024,3,March,Saturday,1,Autumn
67,2024,3,March,Sunday,1,Autumn
68,2024,3,March,Thursday,1,Autumn
69,2024,3,March,Tuesday,1,Autumn
70,2024,3,March,Wednesday,1,Autumn
71,2024,2,February,Friday,1,Summer
72,2024,2,February,Monday,1,Summer
73,2024,2,February,Saturday,1,Summer
74,2024,2,February,Sunday,1,Summer
75,2024,2,February,Thursday,1,Summer
76,2024,2,February,Tuesday,1,Summer
77,2024,2,February,Wednesday,1,Summer
78,2024,1,January,Friday,1,Summer
79,2024,1,January,Monday,1,Summer
80,2024,1,January,Saturday,1,Summer
81,2024,1,January,Sunday,1,Summer
82,2024,1,January,Thursday,1,Summer
83,2024,1,January,Tuesday,1,Summer
84,2024,1,January,Wednesday,1,Summer
85,2023,12,December,Friday,4,Summer
86,2023,12,December,Monday,4,Summer
87,2023,12,December,Saturday,4,Summer
88,2023,12,December,Sunday,4,Summer
89,2023,12,December,Thursday,4,Summer
90,2023,12,December,Tuesday,4,Summer
91,2023,12,December,Wednesday,4,Summer
92,2023,11,November,Friday,4,Spring
93,2023,11,November,Monday,4,Spring
94,2023,11,November,Saturday,4,Spring
95,2023,11,November,Sunday,4,Spring
96,2023,11,November,Thursday,4,Spring
97,2023,11,November,Tuesday,4,Spring
98,2023,11,November,Wednesday,4,Spring
99,2023,10,October,Friday,4,Spring
100,2023,10,October,Monday,4,Spring
101,2023,10,October,Saturday,4,Spring
102,2023,10,October,Sunday,4,Spring
103,2023,10,October,Thursday,4,Spring
104,2023,10,October,Tuesday,4,Spring
105,2023,10,October,Wednesday,4,Spring
106,2023,9,September,Friday,3,Spring
107,2023,9,September,Monday,3,Spring
108,2023,9,September,Saturday,3,Spring
109,2023,9,September,Sunday,3,Spring
110,2023,9,September,Thursday,3,Spring
111,2023,9,September,Tuesday,3,Spring
112,2023,9,September,Wednesday,3,Spring
113,2023,8,August,Friday,3,Winter
114,2023,8,August,Monday,3,Winter
115,2023,8,August,Saturday,3,Winter
116,2023,8,August,Sunday,3,Winter
117,2023,8,August,Thursday,3,Winter
118,2023,8,August,Tuesday,3,Winter
119,2023,8,August,Wednesday,3,Winter
120,2023,7,July,Friday,3,Winter
121,2023,7,July,Monday,3,Winter
122,2023,7,July,Saturday,3,Winter
123,2023,7,July,Sunday,3,Winter
124,2023,7,July,Thursday,3,Winter
125,2023,7,July,Tuesday,3,Winter
126,2023,7,July,Wednesday,3,Winter
127,2023,6,June,Friday,2,Winter
128,2023,6,June,Monday,2,Winter
129,2023,6,June,Saturday,2,Winter
130,2023,6,June,Sunday,2,Winter
131,2023,6,June,Thursday,2,Winter
132,2023,6,June,Tuesday,2,Winter
133,2023,6,June,Wednesday,2,Winter
134,2023,5,May,Friday,2,Autumn
135,2023,5,May,Monday,2,Autumn
136,2023,5,May,Saturday,2,Autumn
137,2023,5,May,Sunday,2,Autumn
138,2023,5,May,Thursday,2,Autumn
139,2023,5,May,Tuesday,2,Autumn
140,2023,5,May,Wednesday,2,Autumn
141,2023,4,April,Friday,2,Autumn
142,2023,4,April,Monday,2,Autumn
143,2023,4,April,Saturday,2,Autumn
144,2023,4,April,Sunday,2,Autumn
145,2023,4,April,Thursday,2,Autumn
146,2023,4,April,Tuesday,2,Autumn
147,2023,4,April,Wednesday,2,Autumn
148,2023,3,March,Friday,1,Autumn
