crash_event,fact_id,victim_key,crash_id,date_key,time_key,location_key,remoteness_key,road_key,vehicle_key,fatalities,fatality_rate_per_100k_dwellings,risk_factor_score
20241115,1,1,1,1,1,1,1,1,1,1,3.5406,4.2
20241125,2,2,2,1,2,2,1,2,1,1,3.918,1.5
20246013,3,3,3,1,3,3,1,3,1,1,15.5183,1.0
20241002,4,4,4,1,1205,4,2,4,1,1,7.719,3.2
20242261,5,5,5,1,5,5,1,5,1,1,11.9775,2.0
20243185,6,6,6,1,1159,6,1,4,1,1,6.1874,3.2
20244016,7,7,7,1,7,7,2,6,1,1,29.8686,2.6
20245001,8,8,8,1,8,8,1,7,1,1,8.4218,2.0
20243168,9,9,9,1,9,9,1,8,1,1,5.7316,2.7
20246003,10,10,10,1,10,10,1,3,1,1,13.2802,1.8
20246001,11,11,11,1,11,11,2,4,1,1,8.8433,5.76
20244081,12,12,12,1,12,12,2,3,1,1,13.4898,1.8
20241087,13,13,13,1,13,13,3,9,1,1,2.8378,4.32
20241054,14,14,14,1,14,14,1,10,2,1,1.5554,5.76
20244042,15,15,15,2,15,15,2,11,1,1,16.3559,3.6
20242183,16,16,16,2,16,5,1,5,1,1,11.9775,3.6
20242171,17,17,17,2,17,5,1,5,1,1,11.9775,3.6
20243246,18,18,18,2,1119,16,2,12,1,1,1.377,1.8
20248007,19,19,19,2,1217,17,3,11,1,1,0.5343,2.0
20241101,20,20,20,2,1127,18,3,13,2,1,1.1176,2.4
20241216,21,21,21,2,21,19,3,14,1,1,1.2308,1.8
20241300,22,22,22,2,22,20,2,4,1,1,2.6251,3.2
20243007,23,23,23,2,1132,21,2,4,1,1,6.2127,3.2
20241278,24,22,24,2,24,22,2,1,1,1,8.1553,2.8
20245005,25,24,25,2,25,23,2,15,1,1,47.3485,2.0
20241149,26,25,26,2,1170,24,3,16,1,1,0.7494,1.2
20247029,27,26,27,2,27,25,2,5,1,1,11.2982,3.0
20242156,28,27,28,2,28,5,1,5,1,1,11.9775,3.0
20245143,29,28,29,2,29,26,3,17,1,1,2.7766,2.25
20245039,30,29,30,2,30,23,2,15,1,2,94.697,3.0
20242087,31,12,31,3,31,27,1,4,1,1,5.1046,5.76
20241068,32,30,32,3,32,28,2,10,3,1,2.6251,5.76
20243273,33,31,33,3,1,9,2,11,1,1,5.7316,3.6
20242141,34,20,34,3,33,5,1,5,1,1,11.9775,3.6
20245045,35,32,35,3,34,26,3,18,1,1,2.7766,2.7
20245093,36,33,36,3,35,26,3,17,1,1,2.7766,1.8
20244020,37,34,37,3,36,29,1,6,1,1,9.0547,3.12
20244055,38,35,38,3,37,15,2,10,1,2,32.7118,3.84
20242095,39,36,39,3,38,5,1,5,1,1,11.9775,2.4
20245100,40,37,40,3,39,23,2,15,4,1,47.3485,2.4
20241094,41,23,41,3,1233,30,1,19,1,1,2.4959,1.92
20243209,42,38,42,3,1132,31,2,3,1,1,14.3246,1.2
20243160,43,35,43,3,1132,32,2,4,1,2,3.8235,3.84
20244001,44,37,44,3,1116,33,1,1,1,1,22.7118,3.36
20243243,45,39,45,3,1227,34,3,20,4,1,0.7938,2.34
20245119,46,40,46,3,1192,26,3,18,1,1,2.7766,1.8
20246016,47,41,47,3,44,35,2,4,1,1,25.3293,3.84
20241119,48,42,48,3,45,4,1,11,1,2,15.4381,2.4
20245133,49,43,49,3,46,23,2,15,1,1,47.3485,2.4
20245069,50,44,50,3,47,26,3,17,1,1,2.7766,2.7
20241169,51,45,51,3,48,36,1,21,1,1,9.984,4.32
20245161,52,46,52,3,49,26,3,22,1,1,2.7766,2.7
20241291,53,47,53,4,50,37,2,10,2,1,35.0754,5.76
20243036,54,48,54,4,1,38,1,11,1,1,1.9004,3.6
20244026,55,49,55,4,1222,39,4,3,1,1,34.3643,1.2
20241077,56,50,56,4,52,40,3,23,1,1,3.3463,1.44
20241028,57,51,57,4,1238,18,3,23,1,1,1.1176,1.44
20241022,58,52,58,4,1174,41,2,6,1,1,16.675,3.12
20243015,59,53,59,4,1179,34,1,8,1,1,0.7938,1.8
20245068,60,54,60,4,56,23,2,24,1,1,47.3485,1.2
20242229,61,55,61,4,57,5,1,5,1,1,11.9775,2.4
20244023,62,39,62,4,58,29,1,6,1,1,9.0547,3.12
20241098,63,48,63,4,1246,36,1,25,1,1,9.984,3.12
20243114,64,56,64,4,1159,42,5,6,1,2,63.2311,3.12
20245092,65,57,65,4,60,26,3,18,1,1,2.7766,1.8
20241040,66,58,66,4,1105,43,2,4,1,1,25.2016,3.84
20242188,67,59,67,4,62,44,1,6,1,1,1.8807,3.12
20241174,68,60,68,4,63,45,3,26,1,1,0.1925,2.52
20241088,69,61,69,4,1170,46,2,1,1,1,3.6069,3.36
20245031,70,62,70,4,1200,26,3,18,1,1,2.7766,1.8
20242136,71,47,71,4,65,47,3,1,4,1,1.2049,3.36
20241255,72,63,72,4,66,48,1,1,1,1,10.846,5.04
20242227,73,64,73,4,67,5,1,5,1,1,11.9775,3.6
20241053,74,31,74,4,68,49,2,1,1,2,45.7352,5.04
20243046,75,65,75,4,13,50,1,14,1,2,2.7007,3.24
20245107,76,66,76,4,69,26,3,22,1,1,2.7766,2.7
20241080,77,67,77,5,70,51,3,26,1,1,1.1248,3.15
